year,pop,mortality,natality,grow,SH.STA.BASS.ZS,SH.STA.SMSS.ZS,GDP_per_capita,growth_GDP_per_capita,SGP_worldbank,SGP_SingStat
1960,667070000,0.02543,0.02086,-1.015527787,,,89.52054151,-26.52764361,1646400,1646400
1961,660330000,0.01424,0.01802,0.820455549,,,75.80583793,-6.351504864,1702400,1702400
1962,665770000,0.01002,0.03701,2.457647404,,,70.90941167,7.62225446,1750200,1750200
1963,682335000,0.01004,0.04337,2.320682987,,,74.31364345,15.46899542,1795000,1795000
1964,698355000,0.0115,0.03914,2.381368103,,,85.49855516,14.19788901,1841600,1841600
1965,715185000,0.0095,0.03788,2.787331838,,,98.48677775,7.608403934,1886900,1886900
1966,735400000,0.00883,0.03505,2.57069762,,,104.3245662,-8.161497585,1934400,1934400
1967,754550000,0.00843,0.03396,2.610902626,,,96.58953194,-6.57145162,1977600,1977600
1968,774510000,0.00821,0.03559,2.740002106,,,91.47271831,13.77934034,2012000,2012000
1969,796025000,0.00803,0.03411,2.761675566,,,100.1299033,16.05039929,2042500,2042500
1970,818315000,0.0076,0.03343,2.74691555,,,113.1629916,4.159176206,2074507,2074507
1971,841105000,0.00732,0.03065,2.45735693,,,118.6545778,1.290105969,2112900,2112900
1972,862030000,0.00761,0.02977,2.283395364,,,131.8835612,5.327293015,2152400,2152400
1973,881940000,0.00704,0.02793,2.065955013,,,157.0903743,0.218005665,2193000,2193000
1974,900350000,0.00734,0.02482,1.766391782,,,160.1400937,6.816440509,2229800,2229800
1975,916395000,0.00732,0.02301,1.547337973,,,178.3418196,-3.081321986,2262600,2262600
1976,930685000,0.00725,0.01991,1.362779476,,,165.4055404,6.114001674,2293300,2293300
1977,943455000,0.00687,0.01893,1.338182338,,,185.4228329,9.84615685,2325300,2325300
1978,956165000,0.00625,0.01825,1.333927954,,,156.3963885,6.165663709,2353600,2353600
1979,969005000,0.00621,0.01782,1.254221052,,,183.9831522,6.490112655,2383500,2383500
1980,981235000,0.00634,0.01821,1.280952344,,,194.8047222,3.774903665,2413945,2413945
1981,993885000,0.00636,0.02091,1.47267476,,,197.0714745,7.423410232,2532835,2532835
1982,1008630000,0.0066,0.02228,1.444949695,,,203.3349195,9.18113705,2646466,2646466
1983,1023310000,0.0069,0.02019,1.312068761,,,225.4319289,13.69001984,2681061,2681061
1984,1036825000,0.00682,0.0199,1.361699118,,,250.713969,11.89656171,2732221,2732221
1985,1051040000,0.00678,0.02104,1.487398929,,,294.4588485,7.341433471,2735957,2735957
1986,1066790000,0.00686,0.02243,1.603605087,,,281.9281209,9.881163796,2733373,2733373
1987,1084035000,0.00672,0.02333,1.610071086,,,251.811957,9.446171357,2774789,2774789
1988,1101630000,0.00664,0.02237,1.533169996,,,283.5376952,2.620859175,2846108,2846108
1989,1118650000,0.00654,0.02158,1.467303211,,,310.8819124,2.406558572,2930901,2930901
1990,1135185000,0.00667,0.02106,1.364434008,,,317.884673,7.782091991,3047132,3047132
1991,1150780000,0.0067,0.01968,1.225536228,,,333.1421454,12.83320958,3135083,3135083
1992,1164970000,0.00664,0.01827,1.149619431,,,366.4606923,12.58199664,3230698,3230698
1993,1178440000,0.00664,0.01809,1.130260632,,,377.3898395,11.76638915,3313471,3313471
1994,1191835000,0.00649,0.0177,1.086509151,,,473.4922787,9.754954889,3419048,3419048
1995,1204855000,0.00657,0.01712,1.048141514,,,609.6566792,8.776429811,3524506,3524506
1996,1217550000,0.00656,0.01698,1.023450024,,,709.4137551,8.124497577,3670704,3670704
1997,1230075000,0.00651,0.01657,0.959550406,,,781.7441643,6.816064564,3796038,3796038
1998,1241935000,0.0065,0.01564,0.865851393,,,828.5804793,6.733485658,3927213,3927213
1999,1252735000,0.00646,0.01464,0.787956593,,,873.2870617,7.638597676,3958723,3958723
2000,1262645000,0.00645,0.01403,0.726380638,56.28960132,26.55697964,959.3724836,7.551654832,4027887,4027887
2001,1271850000,0.00643,0.01338,0.669999568,56.90377068,26.80187654,1053.108243,8.404879975,4138012,4138012
2002,1280400000,0.00641,0.01286,0.622860936,58.90728414,27.52653793,1148.50829,9.354776644,4175950,4175950
2003,1288400000,0.0064,0.01241,0.593932815,60.87621954,29.47623407,1288.643252,9.46155877,4114826,4114826
2004,1296075000,0.00642,0.01229,0.58812499,62.80976688,31.59899924,1508.668098,10.74137513,4166664,4166664
2005,1303720000,0.00651,0.0124,0.558374367,64.70576084,33.88853606,1753.417829,12.09330469,4265762,4265762
2006,1311020000,0.00681,0.01209,0.522271866,66.55263824,36.33284187,2099.229435,13.6358205,4401365,4401365
2007,1317885000,0.00693,0.0121,0.512386932,68.35657729,38.93042499,2693.970063,9.090280101,4588599,4588599
2008,1324655000,0.00706,0.01214,0.497381401,70.12471249,41.67169839,3468.304602,8.855947676,4839396,4839396
2009,1331260000,0.00708,0.01213,0.482959689,71.85526933,44.55027888,3832.236432,10.10283262,4987573,4987573
2010,1337705000,0.00711,0.0119,0.479150454,73.54962698,47.56195298,4550.453108,9.027174425,5076732,5076732
2011,1344130000,0.00714,0.01193,0.487231118,75.1935552,50.68710896,5618.132267,7.339468994,5183688,5183688
2012,1350695000,0.00715,0.0121,0.493709634,76.79587816,53.92583465,6316.918318,7.23540947,5312437,5312437
2013,1357380000,0.00716,0.01208,0.506311592,78.45564097,57.3390586,7050.646271,6.883229179,5399162,5399162
2014,1364270000,0.00716,0.01237,0.508136747,80.08229365,60.86752199,7678.599486,6.498792134,5469724,5469724
2015,1371220000,0.00711,0.01207,0.541478512,81.6754051,64.50651393,8066.942635,6.271762691,5535002,5535002
2016,1378665000,0.00709,0.01295,0.559121331,83.23517302,68.24678845,8147.937705,6.350904743,5607283,5607283
2017,1386395000,0.00711,0.01243,0.455899679,84.76078771,72.08227202,8879.438667,6.26420964,5612253,5612253
2018,1392730000,0.0071,0.0109,0.357291063,,,9976.677137,5.731672797,5638676,5638676
2019,1397715000,,,,,,10261.67925,,5703569,5703569
